ingr_nums,ingr_nums_replace,ingr_cnt_replace,ingr_qnt_replace,ingr_num_total,Original Example,Replacement-ingr_cnt,Replacement-ingr_qnt
4 1 \,4 1 ,4,,4.00,4 (1 inch thick) slices king's hawaiian\xae sweet bread,,
4 1/2,4 1/2,4,1/2,2.00,4 1/2 cups unsweetened frozen blueberries,,
4 \,4,4,,4.00,4 nature valley\xae peanut butter crunchy granola bars,,
4 \2122,4,4,,4.00,4 slices market pantry\u2122 roundtop white sandwich bread,,
5,5,5,,5.00,5 eggs,,
5 1/2,5 1/2,5,1/2,2.50,5 1/2 teaspoons white sugar,,
6,6,6,,6.00,6 thick slices bread,,
6 1,6 1,6,1,6.00,6 (1-inch thick) slices french bread,,
6 100,6 100,6,,6.00,6 slices flourless sprouted 100% whole grain bread,,
6 2,6 2,6,2,12.00,6 (2 inch thick) slices french bread,,
6 6,6 6,6,,6.00,"6 (6 inch) bamboo skewers, yogurt and honey (optional)",,
6 \2122,6,6,,6.00,6 market pantry \u2122 eggs,,
8,8,8,,8.00,8 cups vegetable oil for deep-frying,,
8 1,8 1,8,,8.00,8 (1 inch thick) slices firm-textured french bread,,
8 1 3 4,8 1 3 4,8,,8.00,8 (1 inch thick) slices french or italian bread (about 3- to 4-inches in diameter),,
8 1/2,8 1/2,8,,8.00,8 (1/2 inch) slices egg bread,,
8 2,8 2,8,,8.00,8 (2 inch thick) slices french bread,,
8 3/4,8 3/4,8,,8.00,8 3/4-inch-thick slices of white bread,,
8 \,8,8,,8.00,"8 slices sun-maid\xae raisin bread, powdered sugar for topping (optional)",,
8 \ 100,8 100,8,,8.00,8 slices sara lee\xae soft and smooth 100% whole wheat bread,,
8 \ \2122,8,8,,8.00,8 slices sara lee\xae soft &amp, smooth\u2122 whole grain white bread,
8 \2122 100,8 100,8,,8.00,8 slices archer farms\u2122 100% whole wheat bread,,
9,9,9,,9.00,9 eggs,,
